last_name, first_name,pitcher,n_ff,n_si,n_fc,n_sl,n_ch,n_cu,n_fs,n_kn,n_st,n_sv
Wheeler, Zack,554430,42.6,18.1,,24.9,3.7,10.7,,,,
Mahle, Tyler,641816,53.0,,4.8,26.3,,,15.9,,,
Castillo, Luis,622491,28.5,23.6,,17.4,30.5,,,,,
Buehler, Walker,621111,44.4,7.4,16.4,13.8,4.8,13.2,,,,
Ray, Robbie,592662,59.2,0.3,,30.8,3.6,6.1,,,,
Alcantara, Sandy,645261,21.6,28.2,,24.1,23.5,2.6,,,,
Wainwright, Adam,425794,9.5,28.2,22.1,,6.4,33.8,,,,
Berríos, José,621244,26.7,29.5,,,13.2,0.1,,,,30.4
Montas, Frankie,593423,29.1,29.2,6.5,12.9,,,22.4,,,
Gausman, Kevin,592332,52.7,,,6.2,5.6,,35.5,,,
Morton, Charlie,450203,36.0,13.5,8.5,,5.3,36.7,,,,
Manaea, Sean,640455,0.8,59.3,,15.0,24.2,0.7,,,,
Nola, Aaron,605400,37.5,14.1,1.5,,19.8,27.0,,,,
Cole, Gerrit,543037,47.1,0.8,,22.2,14.2,15.7,,,,
Lyles, Jordan,543475,39.4,9.0,2.8,9.2,7.3,18.2,,,14.2,
Cease, Dylan,656302,46.8,,,30.6,7.4,15.2,,,,
Musgrove, Joe,605397,20.3,5.1,18.2,27.8,4.8,23.8,,,,
Eovaldi, Nathan,543135,42.3,,12.5,13.8,,18.8,12.7,,,
Gibson, Kyle,502043,12.7,34.0,14.9,16.0,13.3,9.1,,,,
Giolito, Lucas,608337,43.8,,,21.7,31.6,2.9,,,,
Scherzer, Max,453286,46.7,,9.4,19.2,14.9,9.8,,,,
Flexen, Chris,623167,40.0,,29.4,,15.3,15.3,,,,
Woodruff, Brandon,605540,33.7,26.7,,8.6,14.2,16.8,,,,
Hendricks, Kyle,543294,17.8,42.8,,,27.7,11.7,,,,
McCullers Jr., Lance,621121,,34.0,1.5,25.9,13.7,24.9,,,,
Márquez, Germán,608566,45.5,7.4,,26.9,2.1,18.2,,,,
Urías, Julio,628711,48.3,0.1,,,17.3,,,,,34.2
Darvish, Yu,506433,22.1,8.3,2.5,31.0,,8.4,4.9,,22.8,
Corbin, Patrick,571578,28.3,28.1,0.3,38.2,4.2,0.9,,,,
Pivetta, Nick,601713,51.8,0.1,,21.6,2.7,23.7,,,,
Stroman, Marcus,573186,2.6,42.0,15.4,1.6,,0.4,16.1,,,21.9
Keuchel, Dallas,572971,2.1,37.9,24.4,7.0,28.6,,,,,
Rodriguez, Eduardo,593958,40.0,11.2,17.7,8.1,23.0,,,,,
Ryu, Hyun Jin,547943,35.2,0.8,25.5,0.5,25.4,12.6,,,,
Irvin, Cole,608344,40.5,19.2,0.1,14.8,22.0,3.3,,,,
Happ, J.A.,457918,53.9,17.6,,15.1,12.1,1.3,,,,
Minor, Mike,501985,42.8,,,21.9,19.6,15.7,,,,
Anderson, Tyler,542881,37.3,10.3,26.2,0.9,24.6,0.6,,,,
Burnes, Corbin,669203,1.6,9.1,52.2,9.2,9.6,18.3,,,,
Miley, Wade,489119,16.3,1.2,46.6,5.2,27.3,3.5,,,,
Davies, Zach,605200,,52.5,7.5,0.6,32.5,6.9,,,,
Montgomery, Jordan,656756,16.2,21.9,13.8,,24.4,23.7,,,,
Kikuchi, Yusei,579328,35.7,,34.9,18.9,10.5,,,,,
Greinke, Zack,425844,40.1,5.7,,15.3,22.4,16.5,,,,
Fried, Max,608331,39.0,11.3,,21.6,2.2,25.6,,,0.3,
DeSclafani, Anthony,543101,27.1,18.6,,35.7,10.5,8.1,,,,
Matz, Steven,571927,,51.9,,8.1,23.4,16.6,,,,
Walker, Taijuan,592836,35.5,21.7,0.1,21.1,,7.3,14.3,,,
Skubal, Tarik,669373,42.8,12.9,0.3,22.8,12.1,6.8,2.3,,,
Gray, Jon,592351,47.6,,,38.1,8.0,6.3,,,,
Lynn, Lance,458681,42.0,19.4,31.0,,4.6,3.0,,,,
Garcia, Luis,677651,44.7,,22.4,12.5,11.0,9.4,,,,
Hill, Rich,448179,47.2,2.4,2.8,0.5,3.0,37.7,,,6.5,
Kelly, Merrill,518876,32.0,18.4,14.1,,17.4,18.1,,,,
Fedde, Erick,607200,1.3,42.2,23.0,,10.2,23.4,,,,
Senzatela, Antonio,622608,54.5,1.6,,31.9,6.2,5.8,,,,
Yarbrough, Ryan,642232,0.3,13.5,40.2,,28.2,17.8,,,,
Bassitt, Chris,605135,19.3,35.7,18.1,2.4,10.2,6.5,,,7.9,
Lester, Jon,452657,31.1,16.7,25.6,,18.2,8.4,,,,
Taillon, Jameson,592791,49.5,5.5,3.7,16.3,6.0,19.0,,,,
Mize, Casey,663554,29.3,22.7,,28.1,,6.7,13.2,,,
Peralta, Freddy,642547,51.7,1.3,,26.5,9.7,10.8,,,,
Houser, Adrian,605288,13.4,53.8,,7.3,11.1,14.4,,,,
Keller, Brad,641745,29.6,29.3,,34.8,6.2,,,,,
Snell, Blake,605483,52.5,,,24.4,9.9,13.3,,,,
Richards, Garrett,572070,53.1,0.6,,27.4,6.9,12.1,,,,
Means, John,607644,47.9,,,8.4,27.3,16.4,,,,
Gonzales, Marco,594835,50.3,,14.3,,20.1,15.4,,,,
Bumgarner, Madison,518516,33.1,3.2,34.3,,7.8,21.5,,,,
Singer, Brady,663903,0.3,57.7,,38.2,3.8,,,,,
Quantrill, Cal,615698,14.7,36.5,25.9,4.7,14.0,4.2,,,,
Heaney, Andrew,571760,59.4,,,0.6,18.0,22.0,,,,
Foltynewicz, Mike,592314,29.3,21.8,,23.7,12.7,12.6,,,,
Harvey, Matt,518774,34.1,20.7,,19.3,11.9,14.0,,,,
Rodón, Carlos,607074,58.7,,,27.2,12.4,1.7,,,,
Gray, Sonny,543243,23.9,29.3,0.5,4.8,3.3,22.8,,,15.4,
Webb, Logan,657277,9.8,37.8,1.1,27.7,23.6,,,,,
Plesac, Zach,668676,41.7,,,23.1,24.3,10.9,,,,
Bubic, Kris,663460,52.0,,,,30.8,17.2,,,,
Wood, Alex,622072,,46.4,,31.6,22.0,,,,,
Anderson, Ian,666120,47.1,0.3,,,31.4,21.1,,,,
Crowe, Wil,640444,34.9,11.7,,24.7,18.2,10.5,,,,
Rogers, Trevor,669432,57.7,0.0,,14.8,27.4,,,,,
López, Jorge,605347,21.1,35.9,,5.6,13.8,23.7,,,,
Smyly, Drew,592767,,46.5,11.5,,,42.0,,,,
Gilbert, Logan,669302,61.5,,,23.6,7.7,7.2,,,,
Gallen, Zac,668678,53.6,0.4,8.4,8.4,16.7,12.5,,,,
Valdez, Framber,664285,5.0,52.1,,,12.1,30.8,,,,
Smith, Caleb,592761,48.1,,,29.6,14.7,7.5,,,,
Allard, Kolby,663465,46.9,0.4,24.8,,16.8,11.1,,,,
Ohtani, Shohei,660271,44.0,,12.3,0.3,,3.4,18.1,,21.9,
Kaprielian, James,621076,52.8,6.0,,17.4,15.7,8.1,,,,
McKenzie, Triston,663474,61.6,,,19.1,1.3,18.0,,,,
Gant, John,607231,12.5,36.8,19.7,3.0,22.5,5.6,,,,
Wacha, Michael,608379,35.9,3.5,24.9,,29.4,6.3,,,,
Lauer, Eric,641778,43.9,,18.3,12.1,11.3,14.5,,,,
Alzolay, Adbert,640470,18.5,27.0,6.5,39.8,7.1,1.1,,,,
McClanahan, Shane,663556,40.9,,,34.7,8.0,16.3,,,,
Brubaker, JT,664141,24.5,24.6,,34.2,6.3,10.4,,,,
Mills, Alec,621219,17.3,42.9,,12.6,16.8,10.4,,,,
Civale, Aaron,650644,22.4,10.5,25.1,11.9,,16.2,13.8,,,
Dunning, Dane,641540,0.4,52.3,8.0,22.1,13.0,4.2,,,,
Freeland, Kyle,607536,25.3,14.8,,22.7,17.2,19.9,,,,
Cueto, Johnny,456501,35.9,15.5,1.5,21.7,23.7,1.7,,,,
Paddack, Chris,663978,61.5,,,,26.2,12.3,,,,
Pérez, Martín,527048,13.1,25.3,28.9,,24.3,8.4,,,,
